entity,reference,name,organisation_name,organisation_entity,resource_start_date
7010002001,DO.4,"Land South of Hollybush Corner, Christmas Lane, Farnham Common",Buckinghamshire Council,67,2024-10-03
7010002002,DO.5,Land at Fulmer,Buckinghamshire Council,67,2024-10-03
7010002003,DO.6,"St Huberts Lane, Gerrards Cross",Buckinghamshire Council,67,2024-10-03
7010002004,DO.7,"Field End Farm, Sevenhills Road, Iver",Buckinghamshire Council,67,2024-10-03
7010002005,DO.8,"Nursery House and Land, Kiln Lane, Hedgerley",Buckinghamshire Council,67,2024-10-03
7010002006,DO.9,"Church Lane, Wexham",Buckinghamshire Council,67,2024-10-03
7010002007,DO.1,"Four Winds, Slough Road, Iver Heath",Buckinghamshire Council,67,2024-10-03
7010002008,DO.2,"Land at Marish Lane / Mirrie Lane, Denham",Buckinghamshire Council,67,2024-10-03
7010002009,DO.3,"Land at Collinswood Road, Farnham Common",Buckinghamshire Council,67,2024-10-03
7010002010,DO.10,Fulmer,Buckinghamshire Council,67,2024-10-03
7010002011,DO.11,"Purton Lane / Farnham Park Lane, Farnham Royal",Buckinghamshire Council,67,2024-10-03
7010002012,DO.13,"Land at Alderbourne Manor Farm, Fulmer Lane, Fulmer",Buckinghamshire Council,67,2024-10-03
7010002013,DO.14,"Dorney Wood Road, Burnham",Buckinghamshire Council,67,2024-10-03
7010002014,DO.15,"Boundary Road, Land at Hill Farm, Taplow",Buckinghamshire Council,67,2024-10-03
7010002015,DO.16,Denham,Buckinghamshire Council,67,2024-10-03
7010002016,DO.17,"Parkspring Wood, Fulmer",Buckinghamshire Council,67,2024-10-03
7010002017,DO.19,"Land at Sunrise, Bangors Road North, Iver",Buckinghamshire Council,67,2024-10-03
7010002018,DO.20,Beaconsfield,Buckinghamshire Council,67,2024-10-03
7010002019,DO.21,"Alderbourne Farm, Fulmer",Buckinghamshire Council,67,2024-10-03
7010002020,DO.23,"Wooburn Common, Transferred from Wycombe Rural District Council",Buckinghamshire Council,67,2024-10-03
7010002021,DO.24,"Land West of Wexham Street, Stoke Poges",Buckinghamshire Council,67,2024-10-03
7010002022,DO.25,"Beaconsfield, Transferred from Chiltern District Council",Buckinghamshire Council,67,2024-10-03
7010002023,DO.26,"Land at Bakers Wood, Denham",Buckinghamshire Council,67,2024-10-03
7010002024,DO.27,"Land to North-West of Amersham Road, Beaconsfield",Buckinghamshire Council,67,2024-10-03
7010002025,DO.28,"Land Between Bakers Wood and Broken Gate Lane, Denham",Buckinghamshire Council,67,2024-10-03
7010002026,DO.29,"Land to North of North Park and West of St Andrews Church, Iver",Buckinghamshire Council,67,2024-10-03
7010002027,DO.32,"Land at George Green, Wexham",Buckinghamshire Council,67,2024-10-03
7010002028,DO.33,"Land at Home Farm, Stoke Poges",Buckinghamshire Council,67,2024-10-03
7010002029,DO.34,"Land West of Mansion Lane and Immediately South of Iverdale Close, Iver",Buckinghamshire Council,67,2024-10-03
7010002030,DO.35,"Land Between Lake End Road and Huntercombe Lane South, Burnham",Buckinghamshire Council,67,2024-10-03
7010002070,186731,Article_4_Direction_s__Aylesbury_Vale_.17,Buckinghamshire Council,67,2024-10-03
7010002071,285884,Article_4_Direction_s__Aylesbury_Vale_.11,Buckinghamshire Council,67,2024-10-03
7010002072,287247,Article_4_Direction_s__Aylesbury_Vale_.12,Buckinghamshire Council,67,2024-10-03
7010002073,307,Article_4_Direction_s__Aylesbury_Vale_.5,Buckinghamshire Council,67,2024-10-03
7010002074,308,Article_4_Direction_s__Aylesbury_Vale_.19,Buckinghamshire Council,67,2024-10-03
7010002075,309,Article_4_Direction_s__Aylesbury_Vale_.9,Buckinghamshire Council,67,2024-10-03
7010002076,310,Article_4_Direction_s__Aylesbury_Vale_.1,Buckinghamshire Council,67,2024-10-03
7010002077,311,Article_4_Direction_s__Aylesbury_Vale_.16,Buckinghamshire Council,67,2024-10-03
7010002078,312,Article_4_Direction_s__Aylesbury_Vale_.14,Buckinghamshire Council,67,2024-10-03
7010002079,313,Article_4_Direction_s__Aylesbury_Vale_.4,Buckinghamshire Council,67,2024-10-03
7010002080,314,Article_4_Direction_s__Aylesbury_Vale_.6,Buckinghamshire Council,67,2024-10-03
7010002081,315,Article_4_Direction_s__Aylesbury_Vale_.15,Buckinghamshire Council,67,2024-10-03
7010002082,316,Article_4_Direction_s__Aylesbury_Vale_.3,Buckinghamshire Council,67,2024-10-03
7010002083,317,Article_4_Direction_s__Aylesbury_Vale_.2,Buckinghamshire Council,67,2024-10-03
7010002084,318,Article_4_Direction_s__Aylesbury_Vale_.18,Buckinghamshire Council,67,2024-10-03
7010002085,319,Article_4_Direction_s__Aylesbury_Vale_.13,Buckinghamshire Council,67,2024-10-03
7010002086,320,Article_4_Direction_s__Aylesbury_Vale_.7,Buckinghamshire Council,67,2024-10-03
7010002087,321,Article_4_Direction_s__Aylesbury_Vale_.10,Buckinghamshire Council,67,2024-10-03
7010002088,390975,Article_4_Direction_s__Aylesbury_Vale_.8,Buckinghamshire Council,67,2024-10-03
7010002089,1,Eight OS parcels North of Asheridge Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002090,2,Eight OS parcels North of Asheridge Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002091,3,Eight OS parcels North of Asheridge Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002092,4,"Land to the north of Long Park, Chesham Bois - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002093,5,Amersham Train Station - Development near the train station,Buckinghamshire Council,67,2024-10-03
7010002094,6,Land South of A413 in Little Missenden - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002095,7,"OS parcel 1178, 1179. SE of Asheridge Farm - Restriction to camping.",Buckinghamshire Council,67,2024-10-03
7010002096,8,Land at Misbourne Valley - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002097,9,"Land at Flamstead Farm, off A416 road - Holding markets.",Buckinghamshire Council,67,2024-10-03
7010002098,10,"Land North and East of Savecroft Farm, Bellingdon. In Relation to caravans and agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002099,13,"Land at Sedges Farm, Great Missenden - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002100,14,"Land at Penn Wood, Beamond End - War Games.",Buckinghamshire Council,67,2024-10-03
7010002101,17,"Land of Twitchells Lane, Jordan - Means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002102,18,Land at junction of Mill Lane and Amersham Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002103,19,"Re Land above Deep Mill Lane, Little Kings Hill - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002104,20,Land between Potkiln Lane and Layters Green Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002105,21,"Land off Gold Hill North, Chalfont St Peter - Residential extension, building and curtilage.",Buckinghamshire Council,67,2024-10-03
7010002106,22,OS parcel 449a and 447 East off Jordans Lane - Breeding and keeping of poultry.,Buckinghamshire Council,67,2024-10-03
7010002107,23,Land east of Jordans Lane and north of Jordans Farm - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002108,24,"Land North of Welders Lane, South of Jordans Way - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002109,25,Land East of Roberts Wood Drive - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002110,26,Land at Wilton Lane - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002111,27,Land to the South of Penfold Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002112,28,"Land nr Gravelly Way, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002113,29,Land off Hazelmere Road - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002114,30,"Land South of Sheepcote Dell Road, Holmer Green, including Land East of Earl Howe Road - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002115,31,"Land South of Sheepcote Dell Road, Holmer Green, including Land East of Earl Howe Road - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002116,32,"Land at Penn Wood, Beamond End - off road vehicles.",Buckinghamshire Council,67,2024-10-03
7010002117,33,Land off Bois Moor Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002118,34,"Land off Botley Road, Chesham - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002119,35,"Land to the East of Jasons Hill, Ley Hill - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002120,36,"Land on East side of Latimer Village, on Herts Bucks border - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002121,37,"Land at Mount Wood Farm - Enclosure, access, mining, caravan sites, recreation, forestry, buildings and minerals.",Buckinghamshire Council,67,2024-10-03
7010002122,38,Land north of A404 - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002123,39,Land at Wyburn Wood off Amersham Road - Forestry.,Buckinghamshire Council,67,2024-10-03
7010002124,40,"Land at Green Street Farm, Herts and Bucks border - Highway access.",Buckinghamshire Council,67,2024-10-03
7010002125,41,Land Southeast of Finch Lane - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002126,42,Land East of Amersham Road including OS parcel 9269 - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002127,43,OS parcel 6961 to West of Amersham Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002128,44,Part of OS parcel 6961 to West of Amersham Road - Provision of hard surface.,Buckinghamshire Council,67,2024-10-03
7010002129,45,Land West of Amersham Road OS parcels 8050 and 8750 - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002130,46,"Land off Amersham Road, nr Turners Wood drive - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002131,47,Land at Phillipshill Farm off Old Shire Lane and Burtons Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002132,48,Land East of Amersham Road including OS parcel 0006 - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002133,49,Land East of Amersham Road including OS parcel 0006 - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002134,51,Land on East Side of Vale Road - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002135,52,"Land at Green Street Farm, Herts and Bucks border - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002136,53,3 parcels of land surrounding Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002137,54,3 parcels of land surrounding Lodge Lane - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002138,55,"Land Northwest of Farm Road, Little Chalfont - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002139,56,"Land surrounding Nightingales Lane, 2290 meter long strip - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002140,57,"Land North of Mill Farm, Chenies Bottom - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002141,58,"Strip Land at Sedges Farm, Great Missenden - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002142,59,"OS Parcel 5200, Windsor Lane, Little Kingshill - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002143,60,"Land below Chalk Lane, Hyde Heath - agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002144,61,Land South of A413 in Little Missenden - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002145,62,Land Surrounding Pednor High Road - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002146,63,Land surrounding Hollow Way btwn Chesham and Pednor - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002147,64,"Land South of Coneybank Wood, Great Missenden - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002148,65,"Land to the North of Blackthorne Lane, Ballinger - agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002149,66,"Land off Buslins Lane, North of Chesham Road - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002150,67,Land off Broadview Chesham - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002151,68,"Land at Johnsons Farm, North of Chesham Road, Bellingdon - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002152,69,"Land North and East of Savecroft Farm, Bellingdon. In Relation to means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002153,70,"OS Parcels 3100, 2829 - Means of enclosure and agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002154,71,Land Surrounding Asheridge Road - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002155,72,"OS parcel 8349, 6265, 7466, off Bellingdon Road - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002156,74,Land to the South side of Swan Bottom - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002157,75,"Land at Swan Bottom, OS parcel 4729 - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002158,76,"Land at Swan Bottom, OS parcel 2216 - Agricultural Buildings and means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002159,78,"OS parcel 1178, 1179, 1180 nr Asheridge Farm - Agricultural Buildings",Buckinghamshire Council,67,2024-10-03
7010002160,79,"Land off Chesham Road, Bellingdon - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002161,81,In the area of Wigginton - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002162,82,Land to the South of Ballinger Road - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002163,83,Land to north of Ballinger Road - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002164,84,Land to north of Ballinger Road - caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002165,85,"Land southern side Chartridge Lane, between Chartridge - Pednor Bottom - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002166,86,"OS parcels 1384, 1347, 1369, 1367, Southern side Chartridge Lane - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002167,87,"Land off Chartridge Lane, Chartridge - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002168,88,"OS parcels 1274, 1279, 1329, Northern side Chartridge Lane - Agricultural buildings and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002169,89,Land to the South of Little Missenden - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002170,90,Land at Beamond End Farm - agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002171,91,"Land near Shardeloes House - Dwellings, enclosure, access, caravans/camping, motor racing and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002172,92,"Land to South of Kiln Lane, Ley Hill - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002173,93,OS Parcel 262 - Caravan Sites.,Buckinghamshire Council,67,2024-10-03
7010002174,94,OS Parcel 262 - Enclosure.,Buckinghamshire Council,67,2024-10-03
7010002175,95,"Land to North East of Potter Row, Great Missenden - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002176,96,"Land to the East of Jasons Hill, Ley Hill - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002177,97,Land at rear of Chessfield Park - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002178,98,"Land at Common Wood, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002179,99,"Land off Pednor Road, Chesham - Caravan Sites.",Buckinghamshire Council,67,2024-10-03
7010002180,100,Small parcel of land East of Lodge Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002181,101,"Land at Sibleys Coppice, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002182,102,"Land at The Coppice, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002183,103,OS parcel 3313 north of Welders Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002184,104,Re Land West of Lodge Lane - caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002185,105,"Land at Skimmers Orchard, Holmer Green - motor racing.",Buckinghamshire Council,67,2024-10-03
7010002186,106,"Land at Skimmers Orchard, Holmer Green - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002187,107,"Land at Skimmers Orchard, Holmer Green - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002188,108,Land between Pednor Road and Drydell Lane - Caravan sites.,Buckinghamshire Council,67,2024-10-03
7010002189,109,Land between Pednor Road and Drydell Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002190,110,Land to the East side of Roberts Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002191,111,Land East of Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002192,112,Whole District excluding the Town of Chesham - Poultry production.,Buckinghamshire Council,67,2024-10-03
7010002193,241,"Area of Watchet Road, High Wycombe, edge of Chiltern District - poultry.",Buckinghamshire Council,67,2024-10-03
7010002194,289,"Land off Kings Ash, The Lee - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002195,290,"Land at Spurlands End, Beech Tree Road cross-roads - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002196,291,"Land at Spurlands End, Beech Tree Road cross-roads - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002197,292,OS Parcel 262 - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002198,293,"Land at Wycombe Heath Farm, Spurlands End - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002199,294,"Land at Wycombe Heath Farm, Spurlands End - caravan sites.",Buckinghamshire Council,67,2024-10-03
7010002200,295,Land at Phillipshill Farm off Old Shire Lane and Burtons Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002201,296,Land at Wyburn Wood off Amersham Road - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002202,297,"Land at Green Street Farm, Herts and Bucks border - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002203,298,"Land at Green Street Farm, Herts and Bucks border - Highway access.",Buckinghamshire Council,67,2024-10-03
7010002204,300,"Land to east of Potter Row, South Heath - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002205,301,"Land nr Gravelly Way, Penn - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002206,302,"Land nr Gravelly Way, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002207,304,Land West of Lodge Lane - means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002208,305,"Land off Pednor Road, Chesham - Means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002209,306,"Land to the West of Jasons Hill, Ley Hill - agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002210,307,Land at Misbourne Valley - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002211,308,OS parcel 3313 north of Welders Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002212,309,Land East of Lodge Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002213,353,3 parcels of land surrounding Lodge Lane - Agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002214,400,Small parcel of Land East of Lodge Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002215,401,"Land off Amersham Road, nr Turners Wood drive - Residential extension, building and cartilage, means of enclosure and hard surfaces.",Buckinghamshire Council,67,2024-10-03
7010002216,402,Land at Wyburn Wood off Amersham Road - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002383,148281,"Land at Penn Wood, Beamond End - War Games.",Buckinghamshire Council,67,2024-10-03
7010002384,148333,"OS parcel 8349, 6265, 7466, off Bellingdon Road - Agricultural buildings.",Buckinghamshire Council,67,2024-10-03
7010002385,148394,Land East of Lodge Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002386,148316,3 parcels of land surrounding Lodge Lane - agricultural buildings.,Buckinghamshire Council,67,2024-10-03
7010002387,148306,Land Southeast of Finch Lane - Agricultural buildings and mineral working.,Buckinghamshire Council,67,2024-10-03
7010002388,148349,"Land near Shardeloes House - Dwellings, enclosure, access, caravans/camping, motor racing and mineral working.",Buckinghamshire Council,67,2024-10-03
7010002389,148311,Land at Phillipshill Farm off Old Shire Lane and Burtons Lane - Agricultural Buildings.,Buckinghamshire Council,67,2024-10-03
7010002390,148345,"Land off Chartridge Lane, Chartridge - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002391,148302,"Land at Mount Wood Farm - Enclosure, access, mining, caravan sites, recreation, forestry, buildings and minerals.",Buckinghamshire Council,67,2024-10-03
7010002392,148299,"Land off Botley Road, Chesham - Agricultural Buildings.",Buckinghamshire Council,67,2024-10-03
7010002393,148385,"Land nr Gravelly Way, Penn - means of enclosure.",Buckinghamshire Council,67,2024-10-03
7010002394,148367,Land between Pednor Road and Drydell Lane - Means of enclosure.,Buckinghamshire Council,67,2024-10-03
7010002395,148297,"Land at Penn Wood, Beamond End - off road vehicles.",Buckinghamshire Council,67,2024-10-03
7010002396,148319,"Strip Land at Sedges Farm, Great Missenden - means of enclosure.",Buckinghamshire Council,67,2024-10-03
